State,Biden,Trump,EV,Biden_pct,Trump_pct,Biden_margin,Trump_margin
Alabama,0,9,9,37,62,-25,25
Alaska,0,3,3,43,54,-11,11
Arizona,11,0,11,50,49,1,-1
Arkansas,0,6,6,35,63,-28,28
California,55,0,55,64,34,30,-30
Colorado,9,0,9,52,40,12,-12
Connecticut,7,0,7,59,39,20,-20
D.C.,3,0,3,92,5,87,-87
Delaware,3,0,3,59,40,19,-19
Florida,0,29,29,48,51,-3,3
Georgia,16,0,16,50,49,1,-1
Hawaii,4,0,4,65,34,31,-31
Idaho,0,4,4,33,64,-31,31
Illinois,20,0,20,57,41,16,-16
Indiana,0,11,11,41,57,-16,16
Iowa,0,6,6,45,53,-8,8
Kansas,0,6,6,41,57,-16,16
Kentucky,0,8,8,36,62,-26,26
Louisiana,0,8,8,40,59,-19,19
Maine,3,1,4,53,44,9,-9
Maryland,10,0,10,65,33,32,-32
Massachusetts,11,0,11,65,33,32,-32
Michigan,16,0,16,51,48,3,-3
Minnesota,10,0,10,53,45,8,-8
Mississippi,0,6,6,40,59,-19,19
Missouri,0,10,10,41,57,-16,16
Montana,0,3,3,40,57,-17,17
Nebraska,1,4,5,39,59,-20,20
Nevada,6,0,6,50,48,2,-2
New Hampshire,4,0,4,53,46,7,-7
New Jersey,14,0,14,57,41,16,-16
New Mexico,5,0,5,54,44,10,-10
New York,29,0,29,56,43,13,-13
North Carolina,0,15,15,49,50,-1,1
North Dakota,0,3,3,32,65,-33,33
Ohio,0,18,18,45,53,-8,8
Oklahoma,0,7,7,32,65,-33,33
Oregon,7,0,7,57,40,17,-17
Pennsylvania,20,0,20,50,49,1,-1
Rhode Island,4,0,4,60,39,21,-21
South Carolina,0,9,9,43,55,-12,12
South Dakota,0,3,3,36,62,-26,26
Tennessee,0,11,11,37,61,-24,24
Texas,0,38,38,46,52,-6,6
Utah,0,6,6,38,58,-20,20
Vermont,3,0,3,66,31,35,-35
Virginia,13,0,13,54,44,10,-10
Washington,12,0,12,58,39,19,-19
West Virginia,0,5,5,30,69,-39,39
Wisconsin,10,0,10,50,49,1,-1
Wyoming,0,3,3,27,70,-43,43