I,J,Total,City
26,27,33,"SE OF SHOW LOW, AZ"
11,19,33,"MINA, NV"
38,1,33,"TIOGA, ND"
37,26,33,"CLOVIS, NM"
36,17,33,"BYERS, CO"
15,5,33,"KAMIAH, ID"
37,8,33,"STURGIS, SD"
37,6,33,"CAMP CROOK, SD"
25,27,33,"WHITERIVER, AZ"
21,16,33,"VERNON, UT"
30,21,33,"PAGOSA SPRINGS, CO"
25,26,33,"SHOW LOW, AZ"
22,13,33,"LOGAN, UT"
31,19,33,"SOUTH OF GUNNISON, CO"
42,12,33,"THEDFORD, NE"
35,22,33,"RATON, NM"
22,20,33,"TROPIC, UT"
37,3,33,"NW OF DICKINSON, ND"
22,25,33,"PRESCOTT, AZ"
20,25,33,"BAGDAD, AZ"
9,19,32,"BRIDGEPORT, CA"
44,14,32,"LEXINGTON, NE"
43,18,32,"WA KEENEY, KS"
43,17,32,"HILL CITY, KS"
39,6,32,"LEMMON, SD"
38,8,32,"UNION CENTER, SD"
38,6,32,"PRAIRIE CITY, SD"
38,2,32,"EAST OF WILLISTON, ND"
37,28,32,"TATUM, NM"
42,8,32,"FORT PIERRE, SD"
37,5,32,"RHAME, ND"
37,4,32,"MEDORA, ND"
36,6,32,"BUFFALO, SD"
36,4,32,"BEACH, ND"
36,3,32,"SW OF WILLISTON, ND"
36,2,32,"FAIRVIEW, MT"
35,23,32,"WAGON MOUND, NM"
35,18,32,"COLORADO SPRINGS, CO"
35,9,32,"NEWCASTLE, WY"
35,6,32,"EKALAKA, MT"
35,5,32,"PLEVNA, MT"
35,2,32,"CULBERTSON, MT"
34,9,32,"SE OF GILLETTE, WY"
34,8,32,"WESTON, WY"
33,15,32,"FORT COLLINS, CO"
32,14,32,"JELM, WY"
31,16,32,"YAMPA, CO"
31,13,32,"RAWLINS, WY"
30,24,32,"NW OF ALBUQUERQUE, NM"
29,26,32,"SOUTH OF GRANTS, NM"
29,21,32,"FARMINGTON, NM"
28,9,32,"THERMOPOLIS, WY"
28,8,32,"LOVELL, WY"
26,20,32,"BLANDING, UT"
25,19,32,"SW OF MOAB, UT"
25,18,32,"GREEN RIVER, UT"
23,23,32,"FLAGSTAFF, AZ"
23,19,32,"LOA, UT"
23,17,32,"EPHRAIM, UT"
23,16,32,"PROVO, UT"
22,22,32,"NW OF FLAGSTAFF, AZ"
21,23,32,"WILLIAMS, AZ"
20,24,32,"SELIGMAN, AZ"
19,16,32,"SW OF TOOELE, UT"
13,21,32,"NORTH OF BISHOP, CA"
13,20,32,"SW OF TONOPAH, NV"
13,18,32,"NW OF TONOPAH, NV"
13,5,32,"LEWISTON, ID"
9,6,32,"HERMISTON, OR"
8,6,32,"BOARDMAN, OR"
8,5,32,"SUNNYSIDE, WA"
34,6,31,"SE OF MILES CITY, MT"
41,12,31,"MULLEN, NE"
22,16,31,"PAYSON, UT"
38,21,31,"SPRINGFIELD, CO"
14,5,31,"CULDESAC, ID"
10,6,31,"PENDLETON, OR"
41,11,31,"CODY, NE"
16,14,31,"ELKO, NV"
26,19,31,"SOUTH OF MOAB, UT"
27,9,31,"MEETEETSE, WY"
22,21,31,"KANAB, UT"
42,13,31,"STAPLETON, NE"
94,9,31,"WOLFEBORO, NH"
38,7,31,"NE OF STURGIS, SD"
93,9,31,"LEBANON, NH"
35,3,31,"GLENDIVE, MT"
38,5,31,"HETTINGER, ND"
27,6,31,"COLUMBUS, MT"
35,19,31,"PUEBLO, CO"
36,5,31,"BAKER, MT"
40,7,31,"DUPREE, SD"
36,22,31,"SE OF TRINIDAD, CO"
22,24,31,"FLAGSTAFF, AZ"
40,5,31,"ELGIN, ND"
17,11,31,"BUHL, ID"
29,11,31,"EAST OF LANDER, WY"
33,19,31,"CANON CITY, CO"
26,26,31,"PINETOP, AZ"
41,13,31,"TRYON, NE"
21,24,31,"WEST OF FLAGSTAFF, AZ"
24,18,31,"SOUTH OF PRICE, UT"
17,14,31,"EAST OF ELKO, NV"
28,10,31,"PAVILLION, WY"
23,22,31,"NORTH OF FLAGSTAFF, AZ"
28,12,31,"NE OF ROCK SPRINGS, WY"
37,7,31,"NE OF SPEARFISH, SD"
11,5,31,"WALLA WALLA, WA"
34,19,31,"FLORENCE, CO"
34,4,31,"TERRY, MT"
16,4,31,"EAST OF OROFINO, ID"
19,11,31,"RUPERT, ID"
27,19,31,"MONTICELLO, UT"
44,16,30,"PHILLIPSBURG, KS"
24,13,30,"DIAMONDVILLE, WY"
23,25,30,"SEDONA, AZ"
37,22,30,"CLAYTON, NM"
13,19,30,"WEST OF TONOPAH, NV"
42,19,30,"GARDEN CITY, KS"
13,6,30,"ENTERPRISE, OR"
43,15,30,"ELWOOD, NE"
17,10,30,"FAIRFIELD, ID"
33,5,30,"MILES CITY, MT"
16,12,30,"WEST OF TWIN FALLS, ID"
12,19,30,"NORTH OF DYER, NV"
41,9,30,"KADOKA, SD"
30,22,30,"EAST OF FARMINGTON, NM"
34,1,30,"WOLF POINT, MT"
34,2,30,"POPLAR, MT"
28,11,30,"LANDER, WY"
18,10,30,"HAILEY, ID"
34,7,30,"BROADUS, MT"
10,19,30,"NORTH OF MAMMOTH LAKES, CA"
27,15,30,"JENSEN, UT"
4,10,30,"SE OF EUGENE, OR"
25,13,30,"OPAL, WY"
17,12,30,"TWIN FALLS, ID"
24,17,30,"PRICE, UT"
35,14,30,"CHEYENNE, WY"
28,30,30,"RODEO, NM"
24,23,30,"EAST OF FLAGSTAFF, AZ"
36,16,30,"WIGGINS, CO"
36,18,30,"YODER, CO"
24,19,30,"HANKSVILLE, UT"
40,6,30,"ISABEL, SD"
19,10,29,"NE OF JEROME, ID"
31,17,29,"ASPEN, CO"
18,20,29,"NW OF SAINT GEORGE, UT"
32,1,29,"GLASGOW, MT"
27,24,29,"SANDERS, AZ"
27,25,29,"ZUNI, NM"
27,10,29,"RIVERTON, WY"
28,13,29,"POINT OF ROCKS, WY"
27,18,29,"GATEWAY, CO"
25,23,29,"PINON, AZ"
25,12,29,"KEMMERER, WY"
24,24,29,"EAST OF FLAGSTAFF, AZ"
29,9,29,"WORLAND, WY"
6,9,29,"BEND, OR"
29,10,29,"SHOSHONI, WY"
29,13,29,"WAMSUTTER, WY"
37,9,29,"RAPID CITY, SD"
23,2,29,"GREAT FALLS, MT"
23,18,29,"EMERY, UT"
36,9,29,"WEST OF RAPID CITY, SD"
9,7,29,"HEPPNER, OR"
35,15,29,"GREELEY, CO"
26,24,29,"GANADO, AZ"
30,13,29,"WEST OF RAWLINS, WY"
34,3,29,"RICHEY, MT"
26,22,29,"CHINLE, AZ"
12,5,29,"POMEROY, WA"
12,6,29,"ELGIN, OR"
30,18,29,"PAONIA, CO"
33,3,29,"CIRCLE, MT"
33,2,29,"VIDA, MT"
20,22,29,"SE OF SAINT GEORGE, UT"
15,6,29,"GRANGEVILLE, ID"
26,18,29,"MOAB, UT"
16,2,29,"THOMPSON FALLS, MT"
16,5,29,"SE OF OROFINO, ID"
16,11,29,"MOUNTAIN HOME A F B, ID"
17,5,29,"SW OF MISSOULA, MT"
31,14,29,"ENCAMPMENT, WY"
10,18,28,"HAWTHORNE, NV"
25,3,28,"STANFORD, MT"
32,5,28,"WEST OF MILES CITY, MT"
26,25,28,"NE OF SHOW LOW, AZ"
32,15,28,"WALDEN, CO"
93,8,28,"LITTLETON, NH"
34,22,28,"ANGEL FIRE, NM"
30,7,28,"LODGE GRASS, MT"
30,8,28,"HYATTVILLE, WY"
25,16,28,"DUCHESNE, UT"
34,14,28,"WELLINGTON, CO"
10,7,28,"SE OF HERMISTON, OR"
27,2,28,"NORTH OF LEWISTOWN, MT"
16,10,28,"EAST OF BOISE, ID"
22,12,28,"PRESTON, ID"
27,26,28,"EAGAR, AZ"
41,14,28,"SUTHERLAND, NE"
27,14,28,"MC KINNON, WY"
11,7,28,"LA GRANDE, OR"
26,2,28,"NW OF LEWISTOWN, MT"
18,9,28,"KETCHUM, ID"
26,3,28,"WINIFRED, MT"
42,14,28,"NORTH PLATTE, NE"
27,12,28,"NORTH OF ROCK SPRINGS, WY"
30,17,28,"GLENWOOD SPRINGS, CO"
31,1,28,"HINSDALE, MT"
12,7,28,"UNION, OR"
12,18,28,"SE OF FALLON, NV"
27,11,28,"FORT WASHAKIE, WY"
27,8,28,"POWELL, WY"
28,7,28,"COWLEY, WY"
26,16,28,"VERNAL, UT"
26,17,28,"SOUTH OF VERNAL, UT"
21,2,28,"CHOTEAU, MT"
16,16,28,"NW OF ELY, NV"
19,12,28,"BURLEY, ID"
31,18,28,"GUNNISON, CO"
32,2,28,"FORT PECK, MT"
17,9,28,"SUN VALLEY, ID"
32,3,28,"WEST OF CIRCLE, MT"
14,18,28,"MANHATTAN, NV"
20,13,28,"GROUSE CREEK, UT"
23,24,28,"FLAGSTAFF, AZ"
29,17,28,"RIFLE, CO"
29,8,28,"GREYBULL, WY"
15,13,28,"OWYHEE, NV"
29,7,28,"YELLOWTAIL, MT"
29,6,28,"LAUREL, MT"
39,21,28,"WALSH, CO"
36,15,28,"FORT MORGAN, CO"
19,9,28,"MOORE, ID"
33,7,27,"RECLUSE, WY"
15,10,27,"BOISE, ID"
40,8,27,"MIDLAND, SD"
35,10,27,"LANCE CREEK, WY"
37,17,27,"LIMON, CO"
28,5,27,"BILLINGS, MT"
13,17,27,"SOUTH OF BATTLE MOUNTAIN, NV"
32,17,27,"VAIL, CO"
37,16,27,"BRUSH, CO"
40,13,27,"ARTHUR, NE"
19,8,27,"SW OF DILLON, MT"
4,13,27,"YREKA, CA"
26,7,27,"COOKE CITY, MT"
38,9,27,"NEW UNDERWOOD, SD"
25,17,27,"EAST CARBON, UT"
41,19,27,"SCOTT CITY, KS"
5,12,27,"KLAMATH FALLS, OR"
39,8,27,"NW OF PHILIP, SD"
39,20,27,"GRANADA, CO"
30,12,27,"BAIROIL, WY"
36,21,27,"BRANSON, CO"
28,3,27,"GRASS RANGE, MT"
16,3,27,"PLAINS, MT"
20,21,27,"SAINT GEORGE, UT"
15,11,27,"BRUNEAU, ID"
27,22,27,"SHIPROCK, NM"
27,17,27,"MACK, CO"
14,6,27,"RIGGINS, ID"
14,10,27,"BOISE, ID"
31,15,27,"STEAMBOAT SPRINGS, CO"
14,11,27,"SOUTH OF BOISE, ID"
36,10,27,"EDGEMONT, SD"
28,4,27,"NW OF BILLINGS, MT"
32,19,27,"SAGUACHE, CO"
27,13,27,"ROCK SPRINGS, WY"
32,18,27,"SALIDA, CO"
29,4,27,"WINNETT, MT"
32,4,27,"NW OF MILES CITY, MT"
33,18,27,"HARTSEL, CO"
33,14,27,"LARAMIE, WY"
19,20,27,"CEDAR CITY, UT"
18,8,27,"CHALLIS, ID"
19,19,27,"NW OF CEDAR CITY, UT"
26,6,27,"BIG TIMBER, MT"
17,19,27,"WEST OF CALIENTE, NV"
31,2,27,"SW OF GLASGOW, MT"
24,2,27,"NE OF GREAT FALLS, MT"
20,10,27,"ARCO, ID"
24,3,27,"BELT, MT"
27,3,26,"LEWISTOWN, MT"
26,23,26,"SW OF SHIPROCK, NM"
26,13,26,"GREEN RIVER, WY"
26,12,26,"FARSON, WY"
41,15,26,"WAUNETA, NE"
25,4,26,"RAYNESFORD, MT"
25,2,26,"FORT BENTON, MT"
29,25,26,"GRANTS, NM"
30,3,26,"SE OF MALTA, MT"
30,4,26,"NE OF BILLINGS, MT"
30,11,26,"WEST OF CASPER, WY"
22,2,26,"FAIRFIELD, MT"
30,14,26,"BAGGS, WY"
42,15,26,"CURTIS, NE"
20,20,26,"CEDAR CITY, UT"
20,8,26,"SOUTH OF DILLON, MT"
18,17,26,"EAST OF ELY, NV"
32,6,26,"ASHLAND, MT"
18,7,26,"WEST OF SALMON, ID"
17,17,26,"ELY, NV"
17,16,26,"NORTH OF ELY, NV"
17,3,26,"SUPERIOR, MT"
17,2,26,"KILA, MT"
16,18,26,"SW OF ELY, NV"
16,17,26,"WEST OF ELY, NV"
16,15,26,"SPRING CREEK, NV"
16,13,26,"SW OF TWIN FALLS, ID"
15,18,26,"NE OF TONOPAH, NV"
15,17,26,"EUREKA, NV"
14,12,26,"NW OF OWYHEE, NV"
14,7,26,"COUNCIL, ID"
32,21,26,"LA JARA, CO"
33,4,26,"NORTH OF MILES CITY, MT"
11,18,26,"GABBS, NV"
11,6,26,"WESTON, OR"
34,21,26,"SE OF ALAMOSA, CO"
43,16,26,"NORTON, KS"
37,10,26,"HOT SPRINGS, SD"
37,15,26,"STERLING, CO"
37,21,26,"KIM, CO"
27,4,26,"NW OF BILLINGS, MT"
39,7,26,"FAITH, SD"
5,14,26,"BURNEY, CA"
40,12,26,"HYANNIS, NE"
40,14,26,"OGALLALA, NE"
27,7,26,"RED LODGE, MT"
27,5,26,"MOLT, MT"
32,13,25,"MEDICINE BOW, WY"
13,10,25,"NYSSA, OR"
35,20,25,"WALSENBURG, CO"
28,2,25,"NE OF LEWISTOWN, MT"
13,11,25,"SW OF BOISE, ID"
31,5,25,"FORSYTH, MT"
39,13,25,"OSHKOSH, NE"
17,4,25,"ALBERTON, MT"
94,8,25,"BERLIN, NH"
14,9,25,"BOISE, ID"
32,7,25,"LEITER, WY"
28,23,25,"BRIMHALL, NM"
21,1,25,"BROWNING, MT"
31,3,25,"JORDAN, MT"
26,5,25,"HARLOWTON, MT"
34,20,25,"RYE, CO"
39,15,25,"HOLYOKE, CO"
26,4,25,"HOBSON, MT"
23,3,25,"GREAT FALLS, MT"
27,16,25,"NW OF GRAND JUNCTION, CO"
18,4,25,"MISSOULA, MT"
29,3,25,"SOUTH OF MALTA, MT"
36,19,25,"ORDWAY, CO"
15,16,25,"SW OF SPRING CREEK, NV"
29,22,25,"FARMINGTON, NM"
29,2,25,"MALTA, MT"
28,15,25,"DINOSAUR, CO"
22,3,25,"CASCADE, MT"
33,21,25,"SANFORD, CO"
30,16,25,"SW OF STEAMBOAT SPRINGS, CO"
28,26,25,"SW OF GRANTS, NM"
16,9,25,"LOWMAN, ID"
29,14,25,"NORTH OF CRAIG, CO"
17,7,25,"NW OF CHALLIS, ID"
40,15,25,"IMPERIAL, NE"
33,13,25,"LARAMIE, WY"
40,9,25,"PHILIP, SD"
19,21,25,"SAINT GEORGE, UT"
17,8,25,"STANLEY, ID"
33,8,25,"GILLETTE, WY"
38,10,25,"SE OF RAPID CITY, SD"
33,6,25,"BIDDLE, MT"
10,11,24,"SOUTH OF BURNS, OR"
26,8,24,"CODY, WY"
9,10,24,"HINES, OR"
28,14,24,"SE OF ROCK SPRINGS, WY"
29,15,24,"CRAIG, CO"
37,14,24,"POTTER, NE"
29,16,24,"MEEKER, CO"
18,2,24,"POLSON, MT"
16,19,24,"NW OF PIOCHE, NV"
24,4,24,"WHITE SULPHUR SPRINGS, MT"
20,12,24,"ROCKLAND, ID"
17,6,24,"SW OF HAMILTON, MT"
14,17,24,"SE OF BATTLE MOUNTAIN, NV"
42,16,24,"MC COOK, NE"
27,23,24,"SAINT MICHAELS, AZ"
31,4,24,"NORTH OF FORSYTH, MT"
28,22,24,"KIRTLAND, NM"
28,17,24,"GRAND JUNCTION, CO"
21,3,24,"HELENA, MT"
30,2,24,"EAST OF MALTA, MT"
33,10,24,"NE OF CASPER, WY"
25,7,24,"SPRINGDALE, MT"
12,12,24,"MC DERMITT, NV"
25,6,24,"LIVINGSTON, MT"
12,8,24,"BAKER CITY, OR"
19,7,24,"SALMON, ID"
33,20,24,"ALAMOSA, CO"
30,15,24,"HAYDEN, CO"
16,8,24,"CASCADE, ID"
11,11,24,"SE OF BURNS, OR"
5,11,24,"KLAMATH FALLS, OR"
22,7,24,"ENNIS, MT"
22,8,24,"NORTH OF REXBURG, ID"
5,13,24,"SOUTH OF KLAMATH FALLS, OR"
39,14,24,"JULESBURG, CO"
39,9,24,"WALL, SD"
26,10,24,"DUBOIS, WY"
17,15,24,"SE OF ELKO, NV"
18,1,24,"KALISPELL, MT"
38,15,24,"FLEMING, CO"
15,19,24,"EAST OF TONOPAH, NV"
30,6,23,"CROW AGENCY, MT"
7,14,23,"LIKELY, CA"
41,16,23,"ATWOOD, KS"
39,16,23,"ECKLEY, CO"
30,5,23,"HYSHAM, MT"
15,15,23,"CARLIN, NV"
22,9,23,"REXBURG, ID"
34,10,23,"SE OF GILLETTE, WY"
12,17,23,"EAST OF FALLON, NV"
12,16,23,"NE OF FALLON, NV"
9,8,23,"MOUNT VERNON, OR"
9,11,23,"PRINCETON, OR"
26,11,23,"PINEDALE, WY"
30,9,23,"TEN SLEEP, WY"
30,10,23,"NW OF CASPER, WY"
16,6,23,"COTTONWOOD, ID"
29,23,23,"SOUTH OF FARMINGTON, NM"
20,11,23,"AMERICAN FALLS, ID"
39,12,23,"EAST OF ALLIANCE, NE"
21,17,23,"DELTA, UT"
20,17,23,"HINCKLEY, UT"
33,9,23,"GILLETTE, WY"
16,7,23,"NE OF MC CALL, ID"
42,18,23,"HEALY, KS"
9,18,23,"YERINGTON, NV"
18,6,23,"NORTH FORK, ID"
14,15,23,"CRESCENT VALLEY, NV"
29,24,23,"GALLUP, NM"
18,5,23,"HAMILTON, MT"
31,21,23,"PAGOSA SPRINGS, CO"
18,19,23,"CALIENTE, NV"
29,5,23,"BILLINGS, MT"
31,6,23,"LAME DEER, MT"
15,7,23,"NORTH OF MC CALL, ID"
38,16,23,"YUMA, CO"
13,8,23,"WEISER, ID"
13,7,23,"HALFWAY, OR"
31,7,23,"SHERIDAN, WY"
18,3,23,"MISSOULA, MT"
20,18,23,"GARRISON, UT"
19,17,22,"WEST OF HINCKLEY, UT"
7,9,22,"PRINEVILLE, OR"
28,25,22,"SOUTH OF GALLUP, NM"
15,8,22,"MC CALL, ID"
21,10,22,"BLACKFOOT, ID"
40,16,22,"SAINT FRANCIS, KS"
25,8,22,"WEST OF CODY, WY"
40,10,22,"MARTIN, SD"
26,9,22,"NW OF RIVERTON, WY"
12,11,22,"JORDAN VALLEY, OR"
12,10,22,"SW OF CALDWELL, ID"
15,9,22,"BOISE, ID"
22,18,22,"RICHFIELD, UT"
5,10,22,"CRESCENT, OR"
40,17,22,"GOODLAND, KS"
8,10,22,"SE OF PRINEVILLE, OR"
19,6,22,"WISDOM, MT"
8,11,22,"NE OF LAKEVIEW, OR"
8,9,22,"PAULINA, OR"
41,18,22,"OAKLEY, KS"
11,16,22,"NORTH OF FALLON, NV"
11,15,22,"LOVELOCK, NV"
23,4,22,"EAST OF HELENA, MT"
24,12,22,"COKEVILLE, WY"
39,17,22,"BURLINGTON, CO"
28,24,22,"GALLUP, NM"
36,11,22,"HARRISON, NE"
11,9,22,"JUNTURA, OR"
34,13,22,"CHUGWATER, WY"
14,8,22,"CAMBRIDGE, ID"
6,12,22,"BLY, OR"
32,8,22,"CLEARMONT, WY"
35,21,22,"TRINIDAD, CO"
32,20,22,"MONTE VISTA, CO"
13,14,22,"EAST OF WINNEMUCCA, NV"
39,10,22,"KYLE, SD"
31,11,22,"CASPER, WY"
19,1,22,"HUNGRY HORSE, MT"
13,12,22,"SE OF JORDAN VALLEY, OR"
13,9,22,"CALDWELL, ID"
31,20,22,"SOUTH FORK, CO"
8,13,21,"CEDARVILLE, CA"
32,10,21,"MIDWEST, WY"
40,19,21,"SYRACUSE, KS"
25,11,21,"BIG PINEY, WY"
31,9,21,"BUFFALO, WY"
31,8,21,"STORY, WY"
15,14,21,"WEST OF ELKO, NV"
15,12,21,"SW OF MOUNTAIN HOME A F B, ID"
20,7,21,"DILLON, MT"
32,12,21,"SOUTH OF CASPER, WY"
32,16,21,"SILVERTHORNE, CO"
14,14,21,"NW OF CARLIN, NV"
42,17,21,"HOXIE, KS"
13,15,21,"SE OF WINNEMUCCA, NV"
21,9,21,"TERRETON, ID"
33,11,21,"GLENROCK, WY"
21,11,21,"POCATELLO, ID"
21,18,21,"FILLMORE, UT"
21,19,21,"BEAVER, UT"
28,16,21,"RANGELY, CO"
11,14,21,"OROVADA, NV"
34,12,21,"WHEATLAND, WY"
10,9,21,"NORTH OF BURNS, OR"
10,8,21,"JOHN DAY, OR"
22,19,21,"MARYSVALE, UT"
35,11,21,"LUSK, WY"
9,17,21,"RENO, NV"
9,15,21,"RENO, NV"
35,13,21,"CHEYENNE, WY"
36,20,21,"MODEL, CO"
8,8,21,"MITCHELL, OR"
41,17,21,"COLBY, KS"
7,13,21,"ALTURAS, CA"
7,12,21,"LAKEVIEW, OR"
7,11,21,"SILVER LAKE, OR"
38,14,21,"SIDNEY, NE"
38,17,21,"STRATTON, CO"
38,20,21,"LAS ANIMAS, CO"
40,11,21,"EAST OF PINE RIDGE, SD"
6,10,21,"SOUTH OF BEND, OR"
25,9,21,"NE OF JACKSON, WY"
32,9,21,"KAYCEE, WY"
25,5,20,"TWO DOT, MT"
13,13,20,"NE OF WINNEMUCCA, NV"
38,11,20,"CHADRON, NE"
38,13,20,"BRIDGEPORT, NE"
20,2,20,"NW OF HELENA, MT"
17,18,20,"LUND, NV"
6,13,20,"CANBY, CA"
20,6,20,"WISE RIVER, MT"
10,10,20,"BURNS, OR"
20,1,20,"CUT BANK, MT"
20,9,20,"HOWE, ID"
19,18,20,"NW OF MILFORD, UT"
32,11,20,"CASPER, WY"
21,12,20,"MALAD CITY, ID"
14,16,20,"EAST OF BATTLE MOUNTAIN, NV"
39,11,20,"PINE RIDGE, SD"
20,19,20,"MILFORD, UT"
10,17,20,"FALLON, NV"
22,10,20,"IDAHO FALLS, ID"
21,4,20,"LINCOLN, MT"
19,2,20,"BIGFORK, MT"
37,13,20,"SCOTTSBLUFF, NE"
13,16,20,"BATTLE MOUNTAIN, NV"
11,12,20,"SW OF JORDAN VALLEY, OR"
20,3,20,"WEST OF HELENA, MT"
22,4,20,"HELENA, MT"
21,20,20,"PANGUITCH, UT"
31,12,20,"SW OF CASPER, WY"
12,15,20,"SOUTH OF WINNEMUCCA, NV"
21,8,20,"LIMA, MT"
7,10,20,"CHRISTMAS VALLEY, OR"
37,11,20,"CRAWFORD, NE"
37,20,20,"SOUTH OF LA JUNTA, CO"
8,14,20,"NW OF RENO, NV"
20,5,20,"ANACONDA, MT"
12,9,19,"ADRIAN, OR"
37,18,19,"LIMON, CO"
12,14,19,"WINNEMUCCA, NV"
6,11,19,"SUMMER LAKE, OR"
31,10,19,"NW OF CASPER, WY"
9,16,19,"RENO, NV"
35,12,19,"GUERNSEY, WY"
11,8,19,"SUMPTER, OR"
18,18,19,"BAKER, NV"
23,11,19,"SODA SPRINGS, ID"
19,4,19,"MISSOULA, MT"
38,18,19,"KIT CARSON, CO"
36,12,19,"TORRINGTON, WY"
11,10,19,"EAST OF BURNS, OR"
24,5,19,"WILSALL, MT"
24,6,19,"BOZEMAN, MT"
11,17,19,"FALLON, NV"
36,13,19,"SCOTTSBLUFF, NE"
39,18,19,"CHEYENNE WELLS, CO"
37,12,19,"NE OF SCOTTSBLUFF, NE"
22,11,19,"GRACE, ID"
39,19,19,"LAMAR, CO"
9,9,19,"SENECA, OR"
14,13,19,"WEST OF OWYHEE, NV"
19,5,19,"PHILIPSBURG, MT"
23,10,18,"IDAHO FALLS, ID"
23,7,18,"BIG SKY, MT"
23,6,18,"BOZEMAN, MT"
23,5,18,"TOWNSEND, MT"
38,12,18,"ALLIANCE, NE"
6,14,18,"BIEBER, CA"
38,19,18,"WILEY, CO"
11,13,18,"NW OF WINNEMUCCA, NV"
33,12,18,"ROCK RIVER, WY"
12,13,18,"NORTH OF WINNEMUCCA, NV"
21,7,18,"DELL, MT"
40,18,18,"SHARON SPRINGS, KS"
8,12,18,"NE OF ALTURAS, CA"
23,8,17,"WEST YELLOWSTONE, MT"
24,7,17,"GARDINER, MT"
9,12,17,"NE OF CEDARVILLE, CA"
20,4,17,"DRUMMOND, MT"
8,15,17,"WEST OF RENO, NV"
19,3,17,"SEELEY LAKE, MT"
21,5,17,"BUTTE, MT"
37,19,17,"LA JUNTA, CO"
23,9,17,"VICTOR, ID"
10,13,17,"NW OF OROVADA, NV"
7,15,17,"SUSANVILLE, CA"
24,9,17,"MORAN, WY"
24,8,17,"NE OF VICTOR, ID"
9,14,17,"NORTH OF RENO, NV"
10,12,17,"SE OF PRINCETON, OR"
24,11,16,"AFTON, WY"
10,16,16,"SE OF RENO, NV"
10,15,16,"EAST OF RENO, NV"
24,10,16,"JACKSON, WY"
9,13,16,"EAST OF CEDARVILLE, CA"
25,10,16,"CORA, WY"
21,6,16,"BUTTE, MT"
34,11,15,"DOUGLAS, WY"
10,14,15,"NE OF RENO, NV"
22,5,15,"CLANCY, MT"
22,6,14,"MC ALLISTER, MT"