Player,Draft_Year,Draft_Pick,VORP
James Posey,1999,18,18.8
Quincy Lewis,1999,19,-0.9
Dion Glover,1999,20,-0.7
Jeff Foster,1999,21,13
Kenny Thomas,1999,22,6.6
Devean George,1999,23,2.5
Andrei Kirilenko,1999,24,42.4
Tim James,1999,25,-20
Vonteego Cummings,1999,26,-0.9
Jumaine Jones,1999,27,2.4
Scott Padgett,1999,28,2.7
Leon Smith,1999,29,-20
John Celestand,1999,30,-20
Rico Hill,1999,31,-20
Michael Ruffin,1999,32,1.2
Chris Herren,1999,33,-0.9
Evan Eschmeyer,1999,34,0.5
Calvin Booth,1999,35,0.8
Wang Zhizhi,1999,36,-0.7
Obinna Ekezie,1999,37,-1.5
Laron Profit,1999,38,-0.5
A.J. Bramlett,1999,39,-20
Gordan Giricek,1999,40,-2.5
Francisco Elson,1999,41,0.8
Louis Bullock,1999,42,-20
Lee Nailon,1999,43,-1.5
Tyrone Washington,1999,44,-20
Ryan Robertson,1999,45,-20
J.R. Koch,1999,46,-20
Todd MacCulloch,1999,47,1.9
Galen Young,1999,48,-20
Lari Ketner,1999,49,-20
Venson Hamilton,1999,50,-20
Antwain Smith,1999,51,-20
Roberto Bergersen,1999,52,-20
Rodney Buford,1999,53,-2.8
Melvin Levett,1999,54,-20
Kris Clack,1999,55,-20
Tim Young,1999,56,-20
Manu Ginobili,1999,57,45.5
Eddie Lucas,1999,58,-20
Kenyon Martin,2000,1,15.5
Stromile Swift,2000,2,0.2
Darius Miles,2000,3,2.3
Marcus Fizer,2000,4,-4.1
Mike Miller,2000,5,20.4
DerMarr Johnson,2000,6,0.6
Chris Mihm,2000,7,-4.1
Jamal Crawford,2000,8,11.5
Joel Przybilla,2000,9,3.3
Keyon Dooling,2000,10,-3.6
Jerome Moiso,2000,11,-0.6
Etan Thomas,2000,12,-1
Courtney Alexander,2000,13,-2.1
Mateen Cleaves,2000,14,-2
Jason Collier,2000,15,-2.3
Hedo Turkoglu,2000,16,21.4
Desmond Mason,2000,17,-1.9
Quentin Richardson,2000,18,8.9
Jamaal Magloire,2000,19,-3.3
Speedy Claxton,2000,20,2.8
Morris Peterson,2000,21,9.7
Donnell Harvey,2000,22,-0.6
DeShawn Stevenson,2000,23,-4.6
Dalibor Bagaric,2000,24,-20
Jake Tsakalidis,2000,25,-1.3
Mamadou N'Diaye,2000,26,-20
Primoz Brezec,2000,27,-0.8
Erick Barkley,2000,28,-20
Mark Madsen,2000,29,-0.2
Marko Jaric,2000,30,4.3
Dan Langhi,2000,31,-1.5
A.J. Guyton,2000,32,-1.1
Jake Voskuhl,2000,33,-0.3
Khalid El-Amin,2000,34,-20
Mike Smith,2000,35,-20
Soumaila Samake,2000,36,-20
Eddie House,2000,37,1.6
Eduardo Najera,2000,38,6.4
Lavor Postell,2000,39,-20
Hanno Mottola,2000,40,-2.3
Chris Carrawell,2000,41,-20
Olumide Oyedeji,2000,42,-20
Michael Redd,2000,43,14.9
Brian Cardinal,2000,44,4.5
Jabari Smith,2000,45,-0.5
DeeAndre Hulett,2000,46,-20
Josip Sesar,2000,47,-20
Mark Karcher,2000,48,-20
Jason Hart,2000,49,0.3
Kaniel Dickens,2000,50,-20
Igor Rakocevic,2000,51,-20
Ernest Brown,2000,52,-20
Dan McClintock,2000,53,-20
Cory Hightower,2000,54,-20
Chris Porter,2000,55,-0.8
Jaquay Walls,2000,56,-20
Scoonie Penn,2000,57,-20
Pete Mickeal,2000,58,-20
Kwame Brown,2001,1,-0.4
Tyson Chandler,2001,2,26.2
Pau Gasol,2001,3,51.8
Eddy Curry,2001,4,-5
Jason Richardson,2001,5,24.4
Shane Battier,2001,6,37
Eddie Griffin,2001,7,1.7
DeSagana Diop,2001,8,4.3
Rodney White,2001,9,-1.5
Joe Johnson,2001,10,26.2
Kedrick Brown,2001,11,-0.1
Vladimir Radmanovic,2001,12,7.7
Richard Jefferson,2001,13,20.1
Troy Murphy,2001,14,9.5
Steven Hunter,2001,15,-1.3
Kirk Haston,2001,16,-20
Michael Bradley,2001,17,-0.9
Jason Collins,2001,18,0.2
Zach Randolph,2001,19,13.5
Brendan Haywood,2001,20,8.4
Joseph Forte,2001,21,-20
Jeryl Sasser,2001,22,-0.2
Brandon Armstrong,2001,23,-20
Raul Lopez,2001,24,-0.8
Gerald Wallace,2001,25,27.3
Samuel Dalembert,2001,26,7.2
Jamaal Tinsley,2001,27,5.7
Tony Parker,2001,28,27.5
Trenton Hassell,2001,29,-1.3
Gilbert Arenas,2001,30,24.1
Omar Cook,2001,31,-20
Will Solomon,2001,32,-1.1
Terence Morris,2001,33,-0.8
Brian Scalabrine,2001,34,-1.1
Jeff Trepagnier,2001,35,-20
Damone Brown,2001,36,-20
Mehmet Okur,2001,37,15.7
Michael Wright,2001,38,-20
Earl Watson,2001,39,1
Jamison Brewer,2001,40,-20
Bobby Simmons,2001,41,5.4
Eric Chenowith,2001,42,-20
Kyle Hill,2001,43,-20
Sean Lampley,2001,44,-20
Loren Woods,2001,45,-0.6
Ousmane Cisse,2001,46,-20
Antonis Fotsis,2001,47,-20
Ken Johnson,2001,48,-20
Ruben Boumtje-Boumtje,2001,49,-20
Alton Ford,2001,50,-20
Andre Hutson,2001,51,-20
Jarron Collins,2001,52,0.5
Kenny Satterfield,2001,53,-1.1
Maurice Jeffers,2001,54,-20
Robertas Javtokas,2001,55,-20
Alvin Jones,2001,56,-20
Bryan Bracey,2001,57,-20
Yao Ming,2002,1,17
Jay Williams,2002,2,-0.1
Mike Dunleavy,2002,3,15.9
Drew Gooden,2002,4,2.3
Nikoloz Tskitishvili,2002,5,-2.1
Dajuan Wagner,2002,6,-2
Nene Hilario,2002,7,23.4
Chris Wilcox,2002,8,1.2
Amar'e Stoudemire,2002,9,16.8
Caron Butler,2002,10,15.9
Jared Jeffries,2002,11,3.8
Melvin Ely,2002,12,-2.4
Marcus Haislip,2002,13,-20
Fred Jones,2002,14,2.8
Bostjan Nachbar,2002,15,-0.4
Jiri Welsch,2002,16,-0.1
Juan Dixon,2002,17,-2.1
Curtis Borchardt,2002,18,-0.1
Ryan Humphrey,2002,19,-20
Kareem Rush,2002,20,-3.2
Qyntel Woods,2002,21,-0.5
Casey Jacobsen,2002,22,-0.4
Tayshaun Prince,2002,23,16.6
Nenad Krstic,2002,24,-1.5
Frank Williams,2002,25,-20
John Salmons,2002,26,5.8
Chris Jefferies,2002,27,-20
Dan Dickau,2002,28,-0.4
Steve Logan,2002,29,-20
Roger Mason,2002,30,0.5
Robert Archibald,2002,31,-20
Vincent Yarbrough,2002,32,-0.1
Dan Gadzuric,2002,33,1.3
Carlos Boozer,2002,34,22.1
Milos Vujanic,2002,35,-20
David Andersen,2002,36,-0.7
Tito Maddox,2002,37,-20
Rod Grizzard,2002,38,-20
Juan Carlos Navarro,2002,39,-0.1
Mario Kasun,2002,40,-20
Ronald Murray,2002,41,-2.6
Jason Jennings,2002,42,-20
Lonny Baxter,2002,43,-1.5
Sam Clancy,2002,44,-20
Matt Barnes,2002,45,16.1
Jamal Sampson,2002,46,-20
Chris Owens,2002,47,-20
Peter Fehse,2002,48,-20
Darius Songaila,2002,49,0.7
Federico Kammerichs,2002,50,-20
Marcus Taylor,2002,51,-20
Rasual Butler,2002,52,-0.4
Tamar Slay,2002,53,-20
Mladen Sekularac,2002,54,-20
Luis Scola,2002,55,7.2
Randy Holcomb,2002,56,-20
Corsley Edwards,2002,57,-20
LeBron James,2003,1,108.6
Darko Milicic,2003,2,0.8
Carmelo Anthony,2003,3,28.6
Chris Bosh,2003,4,27.5
Dwyane Wade,2003,5,56.4
Chris Kaman,2003,6,0
Kirk Hinrich,2003,7,14.7
T.J. Ford,2003,8,3.6
Mike Sweetney,2003,9,-0.1
Jarvis Hayes,2003,10,-2.2
Mickael Pietrus,2003,11,3.4
Nick Collison,2003,12,11.4
Marcus Banks,2003,13,-0.6
Luke Ridnour,2003,14,5.8
Reece Gaines,2003,15,-20
Troy Bell,2003,16,-20
Zarko Cabarkapa,2003,17,-1.3
David West,2003,18,23.6
Sasha Pavlovic,2003,19,-3.2
Dahntay Jones,2003,20,-4.1
Boris Diaw,2003,21,19.8
Zoran Planinic,2003,22,-0.9
Travis Outlaw,2003,23,-0.9
Brian Cook,2003,24,-0.6
Carlos Delfino,2003,25,8.1
Ndudi Ebi,2003,26,-20
Kendrick Perkins,2003,27,7
Leandro Barbosa,2003,28,7.9
Josh Howard,2003,29,10.3
Maciej Lampe,2003,30,-20
Jason Kapono,2003,31,-2.3
Luke Walton,2003,32,1.9
Jerome Beasley,2003,33,-20
Sofoklis Schortsanitis,2003,34,-20
Szymon Szewczyk,2003,35,-20
Mario Austin,2003,36,-20
Travis Hansen,2003,37,-20
Steve Blake,2003,38,1.3
Slavko Vranes,2003,39,-20
Derrick Zimmerman,2003,40,-20
Willie Green,2003,41,-5.9
Zaza Pachulia,2003,42,6.9
Keith Bogans,2003,43,4.5
Malick Badiane,2003,44,-20
Matt Bonner,2003,45,10.1
Sani Becirovic,2003,46,-20
Mo Williams,2003,47,8.9
James Lang,2003,48,-20
James Jones,2003,49,4
Paccelis Morlende,2003,50,-20
Kyle Korver,2003,51,19.4
Remon Van de Hare,2003,52,-20
Tommy Smith,2003,53,-20
Nedzad Sinanovic,2003,54,-20
Rick Rickert,2003,55,-20
Brandon Hunter,2003,56,-20
Xue Yuyang,2003,57,-20
Andreas Glyniadakis,2003,58,-20
Dwight Howard,2004,1,36.5
Emeka Okafor,2004,2,7.5
Ben Gordon,2004,3,4.7
Shaun Livingston,2004,4,1.9
Devin Harris,2004,5,13.3
Josh Childress,2004,6,8.6
Luol Deng,2004,7,22.7
Rafael Araujo,2004,8,-1.8
Andre Iguodala,2004,9,40.5
Luke Jackson,2004,10,-20
Andris Biedrins,2004,11,8.6
Robert Swift,2004,12,-0.8
Sebastian Telfair,2004,13,-5.8
Kris Humphries,2004,14,0.2
Al Jefferson,2004,15,15.1
Kirk Snyder,2004,16,0
Josh Smith,2004,17,30
J.R. Smith,2004,18,14.3
Dorell Wright,2004,19,7.4
Jameer Nelson,2004,20,13.2
Pavel Podkolzin,2004,21,-20
Viktor Khryapa,2004,22,0.1
Sergei Monia,2004,23,-20
Delonte West,2004,24,7.6
Tony Allen,2004,25,12.6
Kevin Martin,2004,26,11.3
Sasha Vujacic,2004,27,2.2
Beno Udrih,2004,28,2.1
David Harrison,2004,29,-1
Anderson Varejao,2004,30,13.3
Jackson Vroman,2004,31,-0.5
Peter John Ramos,2004,32,-20
Lionel Chalmers,2004,33,-20
Donta Smith,2004,34,-20
Andre Emmett,2004,35,-20
Antonio Burks,2004,36,-20
Royal Ivey,2004,37,-2.8
Chris Duhon,2004,38,2
Albert Miralles,2004,39,-20
Justin Reed,2004,40,-1.4
David Young,2004,41,-20
Viktor Sanikidze,2004,42,-20
Trevor Ariza,2004,43,20.8
Tim Pickett,2004,44,-20
Bernard Robinson,2004,45,0
Ha Seung-Jin,2004,46,-20
Pape Sow,2004,47,-20
Ricky Minard,2004,48,-20
Sergei Lishouk,2004,49,-20
Vassilis Spanoulis,2004,50,-20
Christian Drejer,2004,51,-20
Romain Sato,2004,52,-20
Matt Freije,2004,53,-20
Rickey Paulding,2004,54,-20
Luis Flores,2004,55,-20
Marcus Douthit,2004,56,-20
Sergei Karaulov,2004,57,-20
Blake Stepp,2004,58,-20
Rashad Wright,2004,59,-20
Andrew Bogut,2005,1,21.2
Marvin Williams,2005,2,8.6
Deron Williams,2005,3,23.9
Chris Paul,2005,4,66.4
Raymond Felton,2005,5,10
Martell Webster,2005,6,4.6
Charlie Villanueva,2005,7,0.6
Channing Frye,2005,8,8.6
Ike Diogu,2005,9,-2
Andrew Bynum,2005,10,9
Fran Vazquez,2005,11,-20
Yaroslav Korolev,2005,12,-20
Sean May,2005,13,-0.2
Rashad McCants,2005,14,-0.6
Antoine Wright,2005,15,-1.5
Joey Graham,2005,16,-2.8
Danny Granger,2005,17,16.1
Gerald Green,2005,18,-0.7
Hakim Warrick,2005,19,-2.9
Julius Hodge,2005,20,-20
Nate Robinson,2005,21,7.8
Jarrett Jack,2005,22,5.7
Francisco Garcia,2005,23,4.9
Luther Head,2005,24,3.2
Johan Petro,2005,25,-4
Jason Maxiell,2005,26,0.1
Linas Kleiza,2005,27,-0.9
Ian Mahinmi,2005,28,3.1
Wayne Simien,2005,29,-20
David Lee,2005,30,20.3
Salim Stoudamire,2005,31,-2.1
Daniel Ewing,2005,32,-0.7
Brandon Bass,2005,33,3.5
C.J. Miles,2005,34,3.4
Ricky Sanchez,2005,35,-20
Ersan Ilyasova,2005,36,6.3
Ronny Turiaf,2005,37,6
Travis Diener,2005,38,0.1
Von Wafer,2005,39,-0.7
Monta Ellis,2005,40,12.5
Roko Ukic,2005,41,-20
Chris Taft,2005,42,-20
Mile Ilic,2005,43,-20
Martynas Andriuskevicius,2005,44,-20
Louis Williams,2005,45,8.3
Erazem Lorbek,2005,46,-20
Bracey Wright,2005,47,-20
Mickael Gelabale,2005,48,0
Andray Blatche,2005,49,5.4
Ryan Gomes,2005,50,2.3
Robert Whaley,2005,51,-20
Axel Hervelle,2005,52,-20
Orien Greene,2005,53,-0.7
Dijon Thompson,2005,54,-20
Lawrence Roberts,2005,55,0.2
Amir Johnson,2005,56,17.4
Marcin Gortat,2005,57,11.3
Uros Slokar,2005,58,-20
Cenk Akyol,2005,59,-20
Alex Acker,2005,60,-20
Andrea Bargnani,2006,1,-0.9
LaMarcus Aldridge,2006,2,20.7
Adam Morrison,2006,3,-2.9
Tyrus Thomas,2006,4,1.7
Shelden Williams,2006,5,-1.2
Brandon Roy,2006,6,15.2
Randy Foye,2006,7,4
Rudy Gay,2006,8,16.1
Patrick O'Bryant,2006,9,-20
Mouhamed Sene,2006,10,-20
J.J. Redick,2006,11,8.1
Hilton Armstrong,2006,12,-0.7
Thabo Sefolosha,2006,13,12
Ronnie Brewer,2006,14,10.7
Cedric Simmons,2006,15,-20
Rodney Carney,2006,16,-0.8
Shawne Williams,2006,17,0
Oleksiy Pecherov,2006,18,-1.3
Quincy Douby,2006,19,-1.3
Renaldo Balkman,2006,20,2.2
Rajon Rondo,2006,21,20.9
Marcus Williams,2006,22,-2
Josh Boone,2006,23,0.1
Kyle Lowry,2006,24,26.6
Shannon Brown,2006,25,-0.6
Jordan Farmar,2006,26,1.6
Sergio Rodriguez,2006,27,-0.9
Maurice Ager,2006,28,-20
Mardy Collins,2006,29,-2
Joel Freeland,2006,30,-0.2
James White,2006,31,-20
Steve Novak,2006,32,1.6
Solomon Jones,2006,33,-0.7
Paul Davis,2006,34,-20
P.J. Tucker,2006,35,7.1
Craig Smith,2006,36,0.9
Bobby Jones,2006,37,-20
Kosta Perovic,2006,38,-20
David Noel,2006,39,-20
Denham Brown,2006,40,-20
James Augustine,2006,41,-20
Daniel Gibson,2006,42,2.3
Marcus Vinicius,2006,43,-20
Lior Eliyahu,2006,44,-20
Alexander Johnson,2006,45,-0.7
Dee Brown,2006,46,-20
Paul Millsap,2006,47,30.8
Vladimir Veremeenko,2006,48,-20
Leon Powe,2006,49,-0.2
Ryan Hollins,2006,50,-1
Cheikh Samb,2006,51,-20
Guillermo Diaz,2006,52,-20
Yotam Halperin,2006,53,-20
Hassan Adams,2006,54,-20
Ejike Ugboaja,2006,55,-20
Edin Bavcic,2006,56,-20
Loukas Mavrokefalidis,2006,57,-20
J.R. Pinnock,2006,58,-20
Damir Markota,2006,59,-20
Will Blalock,2006,60,-20
Greg Oden,2007,1,1.6
Kevin Durant,2007,2,41.7
Al Horford,2007,3,24.4
Mike Conley,2007,4,18
Jeff Green,2007,5,4.9
Yi Jianlian,2007,6,-4.1
Corey Brewer,2007,7,4.4
Brandan Wright,2007,8,5.7
Joakim Noah,2007,9,26.7
Spencer Hawes,2007,10,4.6
Acie Law,2007,11,-2
Thaddeus Young,2007,12,11.7
Julian Wright,2007,13,0.5
Al Thornton,2007,14,-3.1
Rodney Stuckey,2007,15,3.4
Nick Young,2007,16,-5.7
Sean Williams,2007,17,0
Marco Belinelli,2007,18,1.2
Javaris Crittenton,2007,19,-1.1
Jason Smith,2007,20,-1.4
Daequan Cook,2007,21,-2.4
Jared Dudley,2007,22,14.2
Wilson Chandler,2007,23,4.6
Rudy Fernandez,2007,24,5.7
Morris Almond,2007,25,-20
Aaron Brooks,2007,26,1.5
Arron Afflalo,2007,27,5.8
Tiago Splitter,2007,28,6.8
Alando Tucker,2007,29,-20
Petteri Koponen,2007,30,-20
Carl Landry,2007,31,2.6
Gabe Pruitt,2007,32,-20
Marcus Williams,2007,33,-20
Nick Fazekas,2007,34,-20
Glen Davis,2007,35,-0.8
Jermareo Davidson,2007,36,-20
Josh McRoberts,2007,37,6.2
Kyrylo Fesenko,2007,38,-0.6
Stanko Barac,2007,39,-20
Sun Yue,2007,40,-20
Chris Richard,2007,41,-20
Derrick Byars,2007,42,-20
Adam Haluska,2007,43,-20
Reyshawn Terry,2007,44,-20
Jared Jordan,2007,45,-20
Stephane Lasme,2007,46,-20
Dominic McGuire,2007,47,0.6
Marc Gasol,2007,48,27.2
Aaron Gray,2007,49,0.2
Renaldas Seibutis,2007,50,-20
JamesOn Curry,2007,51,-20
Taurean Green,2007,52,-20
Demetris Nichols,2007,53,-20
Brad Newley,2007,54,-20
Herbert Hill,2007,55,-20
Ramon Sessions,2007,56,1.3
Sammy Mejia,2007,57,-20
Giorgos Printezis,2007,58,-20
D.J. Strawberry,2007,59,-20
Milovan Rakovic,2007,60,-20
Derrick Rose,2008,1,10.6
Michael Beasley,2008,2,-4.2
O.J. Mayo,2008,3,5.1
Russell Westbrook,2008,4,36.1
Kevin Love,2008,5,22.1
Danilo Gallinari,2008,6,9.6
Eric Gordon,2008,7,5.3
Joe Alexander,2008,8,-20
D.J. Augustin,2008,9,2
Brook Lopez,2008,10,11.2
Jerryd Bayless,2008,11,0.8
Jason Thompson,2008,12,1.3
Brandon Rush,2008,13,0.7
Anthony Randolph,2008,14,-0.1
Robin Lopez,2008,15,8.2
Marreese Speights,2008,16,-2.9
Roy Hibbert,2008,17,9
JaVale McGee,2008,18,2.3
J.J. Hickson,2008,19,-0.9
Alexis Ajinca,2008,20,-0.2
Ryan Anderson,2008,21,9.8
Courtney Lee,2008,22,7.5
Kosta Koufos,2008,23,2.4
Serge Ibaka,2008,24,11.1
Nicolas Batum,2008,25,21.3
George Hill,2008,26,15.8
Darrell Arthur,2008,27,0.2
Donte Greene,2008,28,-2
D.J. White,2008,29,-0.7
J.R. Giddens,2008,30,-20
Nikola Pekovic,2008,31,2
Walter Sharpe,2008,32,-20
Joey Dorsey,2008,33,0.3
Mario Chalmers,2008,34,10.1
DeAndre Jordan,2008,35,15.6
Omer Asik,2008,36,1.5
Luc Mbah a Moute,2008,37,2.9
Kyle Weaver,2008,38,0.3
Sonny Weems,2008,39,-1.9
Chris Douglas-Roberts,2008,40,-1
Nathan Jawai,2008,41,-20
Sean Singletary,2008,42,-20
Patrick Ewing,2008,43,-20
Ante Tomic,2008,44,-20
Goran Dragic,2008,45,12.4
Trent Plaisted,2008,46,-20
Bill Walker,2008,47,0.5
Malik Hairston,2008,48,-20
Richard Hendrix,2008,49,-20
DeVon Hardin,2008,50,-20
Shan Foster,2008,51,-20
Darnell Jackson,2008,52,-0.7
Tadija Dragicevic,2008,53,-20
Maarty Leunen,2008,54,-20
Mike Taylor,2008,55,-20
Sasha Kaun,2008,56,-20
James Gist,2008,57,-20
Joe Crawford,2008,58,-20
Deron Washington,2008,59,-20
Semih Erden,2008,60,-20