ID,Age Bin
r1,Children 0-18
r2,Children 0-18
r3,Children 0-18
r4,Children 0-18
r5,Children 0-18
r6,Children 0-18
r7,Children 0-18
r8,Children 0-18
r9,Children 0-18
r10,Children 0-18
r11,Children 0-18
r12,Children 0-18
r13,Children 0-18
r14,Children 0-18
r15,Children 0-18
r16,Children 0-18
r17,Children 0-18
r18,Children 0-18
r19,Children 0-18
r20,Children 0-18
r21,Children 0-18
r22,Children 0-18
r23,Children 0-18
r24,Children 0-18
r25,Children 0-18
r26,Adults 19-25
r27,Adults 19-25
r28,Adults 19-25
r29,Adults 19-25
r30,Adults 19-25
r31,Adults 19-25
r32,Adults 19-25
r33,Adults 19-25
r34,Adults 19-25
r35,Adults 26-34
r36,Adults 26-34
r37,Adults 26-34
r38,Adults 26-34
r39,Adults 26-34
r40,Adults 26-34
r41,Adults 26-34
r42,Adults 26-34
r43,Adults 26-34
r44,Adults 26-34
r45,Adults 26-34
r46,Adults 26-34
r47,Adults 35-54
r48,Adults 35-54
r49,Adults 35-54
r50,Adults 35-54
r51,Adults 35-54
r52,Adults 35-54
r53,Adults 35-54
r54,Adults 35-54
r55,Adults 35-54
r56,Adults 35-54
r57,Adults 35-54
r58,Adults 35-54
r59,Adults 35-54
r60,Adults 35-54
r61,Adults 35-54
r62,Adults 35-54
r63,Adults 35-54
r64,Adults 35-54
r65,Adults 35-54
r66,Adults 35-54
r67,Adults 35-54
r68,Adults 35-54
r69,Adults 35-54
r70,Adults 35-54
r71,Adults 35-54
r72,Adults 35-54
r73,Adults 55-64
r74,Adults 55-64
r75,Adults 55-64
r76,Adults 55-64
r77,Adults 55-64
r78,Adults 55-64
r79,Adults 55-64
r80,Adults 55-64
r81,Adults 55-64
r82,Adults 55-64
r83,Adults 55-64
r84,Adults 55-64
r85,Adults 55-64
r86,65+
r87,65+
r88,65+
r89,65+
r90,65+
r91,65+
r92,65+
r93,65+
r94,65+
r95,65+
r96,65+
r97,65+
r98,65+
r99,65+
r100,65+